pid,order,size,condition,rating
1,7,9,birds,2
1,1,8,birds,2.4
1,10,7,birds,5.9
1,8,6,birds,1.9
1,6,5,birds,4.2
1,2,4,birds,4.9
1,4,3,birds,4.7
1,5,2,birds,5.6
1,9,1,birds,3.7
1,3,10,birds,1.6
2,9,1,mammals,1
2,4,3,mammals,6
2,3,2,mammals,9
2,6,9,mammals,-6
2,8,8,mammals,-4
2,5,5,mammals,-1
2,1,10,mammals,3
2,10,6,mammals,-6
2,7,7,mammals,-1
2,2,4,mammals,8
3,2,9,sea_creatures,4.2
3,3,8,sea_creatures,1.2
3,9,7,sea_creatures,-8.8
3,1,6,sea_creatures,-2.8
3,8,5,sea_creatures,1.3
3,4,4,sea_creatures,-0.8
3,5,3,sea_creatures,2.4
3,7,2,sea_creatures,4.7
3,6,1,sea_creatures,4
3,10,10,sea_creatures,1
4,5,1,mammals,-3
4,10,3,mammals,3
4,6,2,mammals,3.5
4,4,9,mammals,-4
4,9,8,mammals,-2
4,1,5,mammals,-2
4,2,10,mammals,4
4,7,6,mammals,-1
4,8,7,mammals,7
4,3,4,mammals,5
5,1,9,sea_creatures,3.7
5,4,8,sea_creatures,NA
5,10,7,sea_creatures,-2.7
5,8,6,sea_creatures,-0.3
5,2,5,sea_creatures,3.4
5,3,4,sea_creatures,1.5
5,7,3,sea_creatures,1.7
5,9,2,sea_creatures,2.1
5,6,1,sea_creatures,-0.5
5,5,10,sea_creatures,2.8
6,10,9,birds,2.2
6,2,8,birds,2
6,4,7,birds,3.1
6,8,6,birds,2.3
6,6,5,birds,2.5
6,9,4,birds,3.8
6,7,3,birds,3.4
6,1,2,birds,6
6,5,1,birds,9.1
6,3,10,birds,6.6
7,3,1,mammals,2.5
7,1,3,mammals,2
7,10,2,mammals,3
7,9,9,mammals,1.7
7,7,8,mammals,2.5
7,8,5,mammals,4.1
7,6,10,mammals,1.3
7,5,6,mammals,3.6
7,4,7,mammals,2.8
7,2,4,mammals,3.1
8,5,9,sea_creatures,2.2
8,2,8,sea_creatures,1.4
8,7,7,sea_creatures,-4.8
8,10,6,sea_creatures,0.8
8,9,5,sea_creatures,4.5
8,3,4,sea_creatures,2.7
8,6,3,sea_creatures,2.7
8,8,2,sea_creatures,3.8
8,4,1,sea_creatures,-0.6
8,1,10,sea_creatures,0.7
chisquareatops,1,9,sea_creatures,4.2
chisquareatops,10,8,sea_creatures,3.7
chisquareatops,4,7,sea_creatures,1.7
chisquareatops,8,6,sea_creatures,0.9
chisquareatops,3,5,sea_creatures,2.1
chisquareatops,6,4,sea_creatures,4.6
chisquareatops,2,3,sea_creatures,0.9
chisquareatops,9,2,sea_creatures,2.7
chisquareatops,7,1,sea_creatures,1.2
chisquareatops,5,10,sea_creatures,2.5
normalosaurus,1,9,birds,9.8
normalosaurus,2,8,birds,9.7
normalosaurus,4,7,birds,10
normalosaurus,10,6,birds,9.3
normalosaurus,9,5,birds,9.2
normalosaurus,7,4,birds,8.2
normalosaurus,5,3,birds,8.9
normalosaurus,3,2,birds,7.2
normalosaurus,6,1,birds,9.4
normalosaurus,8,10,birds,10
11,8,1,mammals,NA
11,3,3,mammals,NA
11,9,2,mammals,NA
11,10,9,mammals,NA
11,4,8,mammals,NA
11,2,5,mammals,NA
11,6,10,mammals,NA
11,1,6,mammals,NA
11,5,7,mammals,NA
11,7,4,mammals,NA
13,3,1,mammals,1.3
13,4,3,mammals,2.7
13,8,2,mammals,2.3
13,5,9,mammals,0.5
13,6,8,mammals,1.5
13,10,5,mammals,5.2
13,1,10,mammals,4.1
13,7,6,mammals,2.9
13,2,7,mammals,1.6
13,9,4,mammals,4.7
annabanana,1,9,sea_creatures,6.2
annabanana,5,8,sea_creatures,8.2
annabanana,8,7,sea_creatures,4.1
annabanana,2,6,sea_creatures,4.6
annabanana,9,5,sea_creatures,8.2
annabanana,7,4,sea_creatures,6.4
annabanana,4,3,sea_creatures,6.2
annabanana,10,2,sea_creatures,9
annabanana,6,1,sea_creatures,9.6
annabanana,3,10,sea_creatures,6.2
Pickles,10,9,sea_creatures,3.2
Pickles,7,8,sea_creatures,1.8
Pickles,4,7,sea_creatures,-6.9
Pickles,8,6,sea_creatures,-3
Pickles,1,5,sea_creatures,4.3
Pickles,3,4,sea_creatures,-2.4
Pickles,9,3,sea_creatures,2.2
Pickles,2,2,sea_creatures,1.8
Pickles,5,1,sea_creatures,-3.3
Pickles,6,10,sea_creatures,7.5
16,5,9,sea_creatures,2.2
16,7,8,sea_creatures,2
